CASE_ID,ACCIDENT_YEAR,PROC_DATE,COLLISION_DATE,COLLISION_TIME,DAY_OF_WEEK,PRIMARY_RD,SECONDARY_RD,STATE_ROUTE,LATITUDE,LONGITUDE,COUNTY,CITY
81569330,2021,2021-09-14,2021-08-27,0738,5,BUENA VISTA AV,WEBSTER ST,,37.777050018310547,-122.276611328125,ALAMEDA,ALAMEDA
81570530,2021,2021-09-15,2021-09-07,0812,2,PORTOLA AV,FIRST ST,,37.691539764404297,-121.7509765625,ALAMEDA,LIVERMORE
81576274,2021,2021-09-22,2021-09-21,0525,2,ISABEL AV,AIRWAY BL,,,,ALAMEDA,LIVERMORE
81577482,2021,2021-09-23,2021-09-07,2352,2,ISABEL AV,I-580 WB,,,,ALAMEDA,LIVERMORE
81577487,2021,2021-09-23,2021-09-16,2123,4,LIVERMORE AV,CHESTNUT ST,,37.685440063476562,-121.77034759521484,ALAMEDA,LIVERMORE
81585479,2021,2021-10-01,2021-09-18,2211,6,ISABEL AV,RICKENBACKER CI (N),84,37.692161560058594,-121.80544281005859,ALAMEDA,LIVERMORE
81586281,2021,2021-10-04,2021-08-30,2110,1,8TH ST,SANTA CLARA AV,,37.773250579833984,-122.27266693115234,ALAMEDA,ALAMEDA
81586347,2021,2021-10-04,2021-09-21,0010,2,ARDENWOOD BLVD,KAISER DR,,,,ALAMEDA,FREMONT
81586349,2021,2021-10-04,2021-09-29,0558,3,MILMONT DR,KATO RD,,,,ALAMEDA,FREMONT
81586480,2021,2021-10-04,2021-09-19,2018,7,FERNSIDE BLVD,SAN JOSE AVENUE,,,,ALAMEDA,ALAMEDA
81586481,2021,2021-10-04,2021-09-19,2019,7,PARK ST,SAN ANTONIO AV,,37.761089324951172,-122.24529266357422,ALAMEDA,ALAMEDA
81590135,2021,2021-10-07,2021-09-21,0503,2,ISABEL AV,VINEYARD AV,84,37.652359008789062,-121.80558013916016,ALAMEDA,LIVERMORE
81591384,2021,2021-10-08,2021-09-18,1156,6,ISABEL AV,AIRWAY BL,,,,ALAMEDA,LIVERMORE
81595896,2021,2021-10-14,2021-10-01,1408,5,WEBSTER ST (SR 61),EAGLE AV,,,,ALAMEDA,ALAMEDA
81595943,2021,2021-10-14,2021-09-28,1730,2,CENTRAL AVE,JOSEPH ST,,,,ALAMEDA,FREMONT
81595944,2021,2021-10-14,2021-08-07,0103,6,STANLEY BL,S ST,,37.679500579833984,-121.78035736083984,ALAMEDA,LIVERMORE
81595945,2021,2021-10-14,2021-10-06,1924,3,FREMONT BLVD,PERALTA BLVD,,,,ALAMEDA,FREMONT
81597142,2021,2021-10-15,2021-10-10,2217,7,WEBSTER ST (SR 61),WILLIE STARGELL AV (S),,37.784709930419922,-122.27709197998047,ALAMEDA,ALAMEDA
81597223,2021,2021-10-15,2021-10-05,1047,2,THORNTON AVE (CA-84),BLACOW RD,,,,ALAMEDA,FREMONT
81597225,2021,2021-10-15,2021-10-06,0825,3,WASHINGTON BLVD,DRISCOLL RD,,,,ALAMEDA,FREMONT
81598266,2021,2021-10-18,2021-10-07,1700,4,6800 MILL CREEK ROAD,MISSION BL,,,,ALAMEDA,FREMONT
81598270,2021,2021-10-18,2021-10-11,1235,1,LOGAN DR,MOWRY AVE,,,,ALAMEDA,FREMONT
81599873,2021,2021-10-19,2021-10-06,1515,3,FIRST ST,SCOTT ST,,37.687870025634766,-121.75794982910156,ALAMEDA,LIVERMORE
81599877,2021,2021-10-19,2021-10-12,1318,2,ISABEL AV,STANLEY BL,84,37.676128387451172,-121.80535125732422,ALAMEDA,LIVERMORE
81600917,2021,2021-10-20,2021-09-18,1202,6,MARINER SQUARE LP,MITCHELL AVENUE,,,,ALAMEDA,ALAMEDA
81600920,2021,2021-10-20,2021-09-29,0927,3,CENTRAL AV,GRAND ST,,37.769889831542969,-122.25711059570312,ALAMEDA,ALAMEDA
